model,class,precision,recall,f1-score,support
logistic_regression,0,0.8911512497719394,0.50852680895367,0.647540766273366,48025.0
logistic_regression,1,0.1766315501436585,0.3874549819927971,0.24264636782257307,6664.0
logistic_regression,2,0.09376733863510264,0.4278481012658228,0.15382281553398058,3555.0
random_forest,0,0.8565658181527325,0.891952108276939,0.8739008915274292,48025.0
random_forest,1,0.255861714872497,0.22433973589435774,0.23906612297113616,6664.0
random_forest,2,0.16764214046822742,0.11279887482419128,0.13485791155204305,3555.0
